source,error_type,entity_text,entity_type,start,end,gold_assertions,pred_assertions,gold_candidates,pred_candidates,detail
e2e:symp_00039,missed_entity,buồn nôn,TRIỆU_CHỨNG,13,21,,,,,gold entity not in predictions
e2e:symp_00040,missed_entity,nghẹt mũi,TRIỆU_CHỨNG,6,15,,,,,gold entity not in predictions
e2e:drug_00045,missed_entity,prednisolone,THUỐC,7,19,,,8640,,gold entity not in predictions
e2e:drug_00045,false_positive,Kê đơn prednisolon,THUỐC,0,18,,,,8640|314076|161|197361|7646,prediction with no gold match
e2e:lab_00074,missed_entity,Hematocrit: 32%,KẾT_QUẢ_XÉT_NGHIỆM,3,18,,,,,gold entity not in predictions
e2e:diag_00009,missed_entity,viêm mũi dị ứng,CHẨN_ĐOÁN,3,18,,,J30.4,,gold entity not in predictions
e2e:diag_00009,false_positive,viêm mũi dị ứng,TRIỆU_CHỨNG,3,18,,,,,prediction with no gold match
e2e:diag_00009,wrong_type,viêm mũi dị ứng,pred=TRIỆU_CHỨNG gold=CHẨN_ĐOÁN,3,18,,,,,type mismatch at same span
e2e:fam_00103,missed_entity,sỏi thận,CHẨN_ĐOÁN,16,24,isFamily,,N20.0,,gold entity not in predictions
e2e:fam_00108,wrong_assertion,viêm gan B,CHẨN_ĐOÁN,25,35,isFamily,isHistorical|isFamily,,,assertion mismatch
e2e:symp_00021,missed_entity,phù mặt,TRIỆU_CHỨNG,3,10,,,,,gold entity not in predictions
e2e:symp_00022,missed_entity,bầm tím,TRIỆU_CHỨNG,10,17,,,,,gold entity not in predictions
e2e:symp_00023,missed_entity,ủn ỉn sốt,TRIỆU_CHỨNG,13,22,,,,,gold entity not in predictions
e2e:symp_00024,missed_entity,hoa mắt,TRIỆU_CHỨNG,10,17,,,,,gold entity not in predictions
e2e:symp_00026,missed_entity,khó thở,TRIỆU_CHỨNG,13,20,,,,,gold entity not in predictions
e2e:symp_00027,missed_entity,vàng da,TRIỆU_CHỨNG,10,17,,,,,gold entity not in predictions
e2e:symp_00028,missed_entity,sốt nhẹ,TRIỆU_CHỨNG,3,10,,,,,gold entity not in predictions
e2e:symp_00029,missed_entity,đi lỏng,TRIỆU_CHỨNG,10,17,,,,,gold entity not in predictions
e2e:symp_00030,missed_entity,vàng mắt,TRIỆU_CHỨNG,23,31,,,,,gold entity not in predictions
e2e:symp_00031,missed_entity,nôn,TRIỆU_CHỨNG,6,9,,,,,gold entity not in predictions
e2e:symp_00035,missed_entity,xuất huyết da,TRIỆU_CHỨNG,13,26,,,,,gold entity not in predictions
